127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-18 23:37:18, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:22, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:37:22, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/default/index, HTTP/1.1, 200, 0.128000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
003000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
P/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
.003000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:37:24, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:37:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:37:27, POST, /admin/default/index, HTTP/1.1, 303, 0.108000
127.0.0.1, 2014-06-18 23:37:27, GET, /admin/default/site, HTTP/1.1, 200, 0.061000
127.0.0.1, 2014-06-18 23:37:27, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:37:28, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:28, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:28, POST, /admin/default/check_version, HTTP/1.1, 200, 0.186000
127.0.0.1, 2014-06-18 23:37:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:37:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:37:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-18 23:37:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/default/index, HTTP/1.1, 200, 1.369000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 200, 0.001000
01000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:37:45, GET, /py2manager/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:38:06, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.055000
127.0.0.1, 2014-06-18 23:38:30, GET, /py2manager/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:38:30, GET, /py2manager/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:38:32, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.039000
127.0.0.1, 2014-06-18 23:38:36, GET, /admin/default/site, HTTP/1.1, 200, 0.110000
127.0.0.1, 2014-06-18 23:38:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:38:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:38:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:38:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:38:54, GET, /admin/default/design/py2manager, HTTP/1.1, 200, 0.182000
127.0.0.1, 2014-06-18 23:38:54, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:38:54, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:38:54, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:38:54, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:38:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:38:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-18 23:39:03, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.063000
127.0.0.1, 2014-06-18 23:40:59, GET, /py2manager/default/user/register, HTTP/1.1, 200, 0.088000
127.0.0.1, 2014-06-18 23:41:16, POST, /py2manager/default/user/register, HTTP/1.1, 303, 0.214000
